doi,title,first_author,year,journal,cited_by_count,abstract,source_count,in_v1
,The Impacts of combining climate finance with ODA on the volume of development finance,Kalekristos Zerisenay Gebreyesus,2017.0,KDI Central Archives (Korea Development Institute),2.0,"There is a general agreement that climate finance has to be scaled up to deal with climate change.However, there is stern disagreement between developed and developing countries in their views of climate finance and its management.Although UNFCCC and subsequent protocols clearly call for increased ""new and additional"" climate finance, there is no legal definition of what ""new and additional"" finance mean, and this has resulted in contending interpretations of the terms. Developing countries interpret ""new and additional"" as a source of money out of annualnational budget and additional to existing ODA target of 0.7% of GNI.They also insist on separating climate change finance from ODA claiming that combining the two funds allow donor countries to divert resources from development finance to climate finance and thus decrease funds they receive for economic growth and development.Conversely, developed countries support merger of climate finance with OD but clearly lack common interpretation of the ""new and additional"" principle.This study examines the impact of combining climate finance with ODA on development finance.Due to unavailability of time series data for climate finance, the study systematically measures ODA percentage of GNI since 1960 and the proportion of climate finance in it.The study finds that the decade average ODA against share of GNI has decreased throughout the five studied decades while the proportion of climate finance in it increased.Based on this systematic measurement, the study concludes that combining ODA and climate finance decreases development finance developing countries receive.",2,True
10.20944/preprints201903.0058.v1,"Climate Finance and Its Role towards the Transition to Low-Carbon, Climate-Resilient Development in Ethiopia",Zelalem Dendir,2019.0,Preprints.org,2.0,"Achieving and sustaining stability for economic growth remain the greatest and most immediate development challenge for Ethiopia. For natural resource-based economies especially maintaining stability and growth depends fundamentally upon climate change adaptation and mitigation. The close links between climate and Ethiopia’s economy are reflected by the strong relationship between GDP growth rate and rainfall variability. A study by the World Bank projects that unless steps to build resilience are effective, climate change will reduce Ethiopia’s GDP growth by between 0.5 and 2.5% each year. Along with the challenges posed by climate change, a number of development opportunities are emerging in response to climate change which includes access to international climate finance. The international response to climate change in the form of external development finance plays a key role to support developing countries in their transition to a low-carbon, climate-resilient and sustainable development pathway. Therefore, this study was conducted to assess the flow and the overall contribution of climate finance to sustainable development in Ethiopia. Specifically, focused on outlining how climate finance is currently reconciled in the existing Ethiopian climate change governance and its contribution to sustainable development. In order to achieve these objectives, data were collected from different sources. The Rio Marker methodology applied to review climate financial flow over the 5 year period. The result reveals that, climate change is central to development agendas despite its recent emergence in the mainstream, with various initiatives under way to combat or reduce its impacts in Ethiopia. In addition, the amount of climate finance from the developed countries to Ethiopia shows some fluctuation for the past five years. In general, the overall flow of climate finance mostly targeted climate adaptation actions which spur and enable the transition towards climate-resilient growth and sustainable development.",2,True
10.7302/2699,Advancing Equity in International Climate Finance: New Approaches to Informal Institutions and Power,Kath Browne,2021.0,Deep Blue (University of Michigan),2.0,"The negative impacts of climate change are particularly damaging for communities in low- and middle-income countries that have fewer resources available for adaptation. High-income countries have pledged $100 billion annually to support efforts to mitigate climate change and cope with its impacts. Grounded in principles of equity and restitution, international climate finance has tremendous potential to enable adaptation among the most vulnerable. Concern is growing, however, that international support for adaptation is not reaching those communities that need it most. Recent studies have shown that many international interventions fail to recognize the social and political underpinnings of climate vulnerability and can actually make inequality worse. Many have pointed to informal and entrenched systems of unequal power, such as clientelism and patrimonialism, as key obstacles to more equitable adaptation. Such informal institutions – unwritten codes and conventions that shape behavior – have long been seen by international actors as obstacles to equality. This dissertation explores the issue of informal power in climate finance, particularly how informal institutions shape equity in internationally financed adaptation. It is comprised of three separate analyses, each of which examines informal power at a different scale: global, national, and sub-national. At the global scale (Chapter 2), I examine the overall architecture of climate finance, focusing on the ways in which it differs from development aid. I find that climate finance is grounded in new principles of restitution, country ownership, and the use of climate specific criteria in decision-making. As a result, I argue, spaces are emerging within this architecture for experimentation and risk-taking with new approaches to informal institutions in countries receiving international funding. Chapters 3 and 4 empirically investigate how informal institutions of clientelism and patrimonialism shape the equity of international adaptation projects targeted at the particularly vulnerable in Mauritius and Madagascar. Drawing on 105 interviews at the national level (Chapter 2), I find that government decision-makers in both countries directed project benefits through informal channels and used project resources as part of broader efforts to build political power. While outcomes in Mauritius were relatively equitable, outcomes were highly inequitable in Madagascar. I argue that these divergent outcomes can be explained by characteristics of each country’s institutional environment. At the sub-national level in Madagascar (Chapter 4), I investigate the distributional outcomes of the same adaptation project in its primary intervention sites. I test the hypothesis that households’ connections to the patronage structure of the state influenced access to project benefits. Analyzing 599 household surveys, I find that project benefits are strongly associated with household political connectivity. I further argue that access was influenced not only by connections to state patronage, but also the uneven movement of information and knowledge through informal community networks. These findings illustrate how informal power can influence internationally financed adaptation. New approaches are needed to ensure equity, especially in targeting funding to socially disadvantaged and politically marginalized groups. This dissertation therefore focuses on identifying opportunities and approaches to advance equity within current frameworks. In particular, I argue for focusing on equitable outcomes as much as inequitable ones. Taken together, the new spaces for experimentation within the overall architecture of climate finance can combine with new approaches on ground to not only make adaption more equitable but also contribute to broader efforts to transform inequitable systems long-term.",1,True
10.14217/comsec.967,Toolkit to Enhance Access to Climate Finance: A Commonwealth Practical Guide,Commonwealth Secretariat,2022.0,,2.0,"Developing countries continue to grapple with challenges in effectively accessing climate finance to support resilience efforts in meeting their targets for nationally determined contributions (NDCs), implementing national adaptation plans (NAPs) and addressing loss and damage due to climate change. Whilst the 2021 United Nations Climate Change Conference (COP26) saw progress made towards delivering the USD 100 billion climate finance goal by 2023 at latest, and countries agreed on a way forward for the new post-2025 climate finance goal, this remains inadequate as annual adaptation costs in developing economies are estimated to reach between USD 155 to USD 330 billion by 2030.",1,True
10.4337/9781802209204.ch42,Finance for Developing Countries,Mark Purdon,2024.0,Edward Elgar Publishing eBooks,2.0,"This entry describes the evolving relationship between the international climate change regime and developing countries. Such attention is warranted as greenhouse gas emissions from the developing world have more than doubled since 2010. Issues of climate and development have tended to revolve around issues of climate finance for climate change mitigation, adaptation, as well as loss and damage (L&D). But international negotiations on climate change have been characterized by deep divisions about equity, accountability, legitimacy and policy effectiveness. Notably, developed countries have yet to honor their commitment to deliver the $100 billion per year of climate finance to the developing world, first proclaimed at the UN climate change conference Copenhagen in 2009. In addition to (modest) financial carrots, developed countries are developing financial sticks, such as carbon tariffs, as climate change is increasingly integrated into the international trade regime.",2,True
10.34225/jidc.2020.15.2.141,Improving Korea’s Climate Finance for Developing Countries: Policy Analysis of the Management of Climate-Related Development Finance (CRDF),Youngwoo Kim,2020.0,Journal of International Development Cooperation,2.0,"No country can be free of global warming and incremental natural disasters. This is true especially of developing countries, which are the most vulnerable to climate change. Although developed and developing countries agreed to mobilize USD 100 billion per year to support developing countries by 2020, the Organization for Economic Cooperation and Development (OECD) has transferred only about USD 58.5 billion, on average over 2015 to 2018, to developing countries. Korea, one of the OECD’s Development Assistance Committee (DAC) members, has a considerable gap between its contribution and its target. This is due to several reasons such as the lack of official development assistance (ODA) as a primary public resource for developing countries, limitations of other forms of public climate finance, and the low level of public-private partnerships (PPP) related to climate change. This study analyzes Korea’s climate finance, mainly climate-related development finance (CRDF)) as a part of ODA. It suggests a strategy for solving the issues faced by the Korean government with a policy analysis approach.",2,True
,Concessional climate finance : MDB experience and opportunities,Joe Leitmann,2011.0,,2.0,"This study covers the experience of six major multilateral development banks (MDBs) with concessional climate finance and is an input to the design of the Green Fund. Specifically, it provides an overview of the climate finance challenge and the background of this study, reviews the conventional and innovative instruments used by the MDBs to deliver concessional climate finance, assesses the potential for these instruments to help close the financing gap, and identifies issues and options for moving forward. Stabilizing greenhouse gas (GHG) concentrations below levels considered dangerous will require low-carbon investment in developing countries of some $139-175 billion per annum by 2030. In addition, between $70-100 billion could be needed annually over the next 40 years to finance adaptation to the inevitable impacts of climate change in developing countries. The need is urgent and the cost of adaptation to climate change, including disaster response, will increase the longer investment in mitigation is postponed.",2,True
10.1163/9789004322714_cclc_2021-0134-415,New and additional climate finance contributed in 2018,,2022.0,Climate Change and Law Collection,1.0,,1,True
10.1787/98de3607-en,In focus: Reforming climate finance,Leia Achampong,2023.0,Development cooperation report ...,1.0,"Global North countries have failed to fulfil their 2009 commitment to mobilise USD 100 billion annually in new and additional finance for climate mitigation and adaptation in Global South countries. Escalating debt levels and increasing loss and damage both increase the urgency for adequate climate finance flows. The 2024 deadline for setting a new global climate finance target offers an opportunity to establish a financing architecture that limits indebtedness from climate finance; improves monitoring and reporting, including on gender-responsive finance; closes the financing gap; and sets a robust new global climate finance goal based on the needs of communities and countries.",2,True
,Tracking Climate Finance in the German Building Sector: A Landscape of finance flows for building decarbonisation in 2016,Julie Emmrich,2018.0,Lund University Publications Student Papers (Lund University),1.0,"Germany’s Energy Concept aims to reduce the building sector’s primary energy demand by 80% compared to 2008 levels, of which 20% are to be achieved by 2020. This requires significant investment in integrated renewables and thermal. Public funds cannot finance such transition alone. Therefore, it is crucial to not only understand current investment levels and potential investment gaps, but also to analyse how public finance can leverage private investment. This thesis tracks public and private climate-specific investment in the German building sector in 2016. Finance flows are tracked from their source, through intermediaries and financial instruments, to the beneficiary measures and the building type. The thesis seeks to answer three questions. First, how is climate finance organised in terms of key funding sources, investors, financial instruments and mitigation activities. Second, what are the main trends in the last five years and how are they aligned to sector targets. The thesis concludes that in 2016, climate-specific investment in the German buildings sector almost reached EUR 30 billion, of which EUR 24 billion went to thermal and electrical efficiency with a 67% share to new buildings. Households invested the most, with close to EUR 19 billion. The development bank KfW plays the key role in facilitating private investment through its concessional loan programmes. The Ministry BAFA provides grants for innovative renewable and energy efficiency measures. Regional banks have proven to play a role in climate finance, yet due to data gaps, their contribution was not quantified. This thesis also finds that common climate finance reporting standards and tracking methodology are needed to enable accurate climate finance tracking and a fair comparison between different publications.",1,True
,What determines the magnitude of the economic impact of climate finance in recipient countries? A structural decomposition of value-added creation between countries.,María Victoria Román,2016.0,RePEc: Research Papers in Economics,1.0,"International climate finance flows are increasing year after year, and will continue to increase in the future if the financial goal agreed in Copenhagen (USD 100 billion per year by 2020) is to be reached. Apart from the climate mitigation and adaptation benefits, these monetary flows generate economic impacts via the purchase of goods and services. Due to the role of international trade, impacts not only happen where climate finance is disbursed but in all economies involved in the production chain of purchased goods. Climate finance recipient countries have different abilities to retain locally the generated economic benefits. Climate finance donor countries differ also in their ability to capture the benefits of climate finance disbursed in other countries. This paper helps to understand the drivers of the differences between several recipient and donor countries. Results identify the most relevant drivers for each country, and those sectors where largest potentials to increase the economic benefits of climate finance are. This is a valuable input of information for the design of general national strategies and sectoral plans aimed at maximizing the synergies between climate action and economic development.",1,True
,The state of tracking financial flows under the Paris Agreement - A primer for policy makers in India,Asbjørn Torvanger,2019.0,Duo Research Archive (University of Oslo),1.0,"The 21st Conference of Parties to the UNFCCC in 2015 saw international consensus on climate action through the adoption of the Paris Agreement. Article 9 focuses on mobilization and disclosure of climate finance. Drafting the rules for climate finance reporting has remained a contentious issue that has created a divide between developed and developing countries. \nAccording to data compiled by UNFCCC, the face value of climate finance flows from developed to developing countries was at 75 billion USD in 2016. Developed and developing countries have, at times taken quite different views on definitions and best practices for categorizing and tracking climate finance. For example, a 2015 OECD and Climate Policy Initiative (CPI) report estimated climate finance from developed to developing countries at 62 billion USD in 2014. This estimate was strongly contested by an Indian report, which countered that new and additional finance was limited to 2.2 billion USD. This report argued that the methodologies used by OECD and CPI are inconsistent and lack transparency, with no independent verification or consultations with the developing country parties. This exchange sheds light on some of the key challenges faced by stakeholders hoping to track and report on climate finance.\nWith this context, the report aims to draw out some of the major challenges faced in tracking climate finance flows and discuss the major arguments in favour and against different positions, put in an Indian context. The report tries to compile this overview with the hope that it serves as a useful reference for government, policy makers and climate finance experts on recent developments and barriers for tracking climate finance.",2,True
10.21201/2024.000023,Unaccountable Adaptation: The Asian Development Bank’s overstated claims on climate adaptation finance,Sunil Acharya,2024.0,,1.0,"Despite positioning itself as the ‘climate bank of Asia and the Pacific’, it is difficult to ascertain the Asian Development Bank’s claims of climate adaptation finance. Oxfam analysed the bank’s 2019–2023 climate finance portfolio and conducted a detailed assessment of 15 climate adaptation projects, comprising 43% of reported adaptation finance for FY 2021 and 2022. Oxfam found that the Asian Development Bank (ADB) hugely overstates the reported amounts with potential over-reporting of 44% in average for the assessed projects. This briefing paper calls for a transformative shift in the ADB’s adaptation finance strategies. The ADB must improve the accuracy and transparency of climate finance reporting and realign financial flows with the needs of the region's most vulnerable communities.",1,True
,Delivering on US Climate Finance Commitments,Trevor Houser,2011.0,RePEc: Research Papers in Economics,1.0,"At the United Nations climate change conference in Copenhagen in 2009 and Cancun in 2010, the United States joined other developed countries in pledging to mobilize $100 billion in public and private sector funding to help developing countries reduce greenhouse gas emissions and adapt to a warmer world. With a challenging US fiscal outlook and the failure of cap-and-trade legislation in the US Congress, America&amp;apos;s ability to meet this pledge is increasingly in doubt. This paper identifies, quantifies and assesses the politics of a range of potential US sources of climate finance. It finds that raising new public funds for climate finance will be extremely challenging in the current fiscal environment and that many of the politically attractive alternatives are not realistically available absent a domestic cap-and-trade program or other regime for pricing carbon. Washington&amp;apos;s best hope is to use limited public funds to leverage private sector investment through bilateral credit agencies and multilateral development banks.",1,True
10.4324/9781315684260-37,Funding and Financing for Disaster Risk Reduction Including Climate Change Adaptation,A. C. R. Dean,2017.0,,1.0,"This chapter provides an overview of funding and financing disaster risk reduction (DRR) including climate change adaptation (CCA). It outlines five key challenges related to funding and financing DRR and CCA that are inhibiting effective implementation or integration. The first challenge is inequitable distribution of international finance for DRR. The second challenge is misalignment between institutional arrangements for DRR and CCA, and the budgetary systems in place to allocate, categorise and track resources at the national level. The third challenge relates to capacity constraints; some of the countries that are most vulnerable to disaster risks, including climate change, have the least capacity to access, use, report and acquit funding. The fourth challenge relates to inappropriate modalities. The fifth and final challenge discussed in this chapter is the requirement for climate finance to be 'new and additional'. This requirement has perversely discouraged effective integration in some cases. Finally, the chapter explores opportunities for integration and makes a number of recommendations.",1,True
10.1163/9789004322714_cclc_2021-0221-728,Analysis: Why climate-finance ‘flows’ are falling short of $100bn pledge,,2022.0,Climate Change and Law Collection,1.0,,1,True
10.47772/ijriss.2025.9010148,Assessing the Nexus between Climate Finance and State Vulnerability in Africa,Shadrach Baa-Naa Kundi,2025.0,International Journal of Research and Innovation in Social Science,1.0,"The severity and intensity of climate change in Africa are incomparable to those in other parts of the world, as adaptation and mitigation frameworks are unable to withstand the shocks of climate change. The recognition of the vulnerable nature of developing states to climate change, particularly Africa, has enjoined developed parties whose Anthropogenic contribution to climate change surpasses 70% of global GHG emissions, a financial obligation. The study used a mixed-methods approach with data from the Notre Dame Global Adaptation Initiative’s (ND-GAIN) vulnerability index and the Climate Policy Initiative's (CPI) climate finance tracking data set and qualitative interviews with key experts in climate finance and climate risk assessment in Africa. The study assesses the level of risk climate change has on Africa in particular areas that are critical to the continent's efforts to achieve its SDGs. The study notes a huge average annual climate financing gap with the use of a Sample-T test to assess climate needs as against climate funds received by Africa while establishing an inverse relationship between vulnerability and readiness to adapt to climate vulnerabilities. The study identifies the need for a sustainable finance framework for Africa to raise internal funds for climate resilience.",1,True
10.18235/0012872,2023 Climate Finance Database,Paula Morandi,2024.0,,1.0,"Under the current IDBG Corporate Results Framework (CRF) 2020-2023 (https://crf.iadb.org/en), the IDB committed to reach 30% of the total amount approved (including all lending operations) of climate finance during this period. In 2022, the IDB Group - composed of the IDB, IDB Lab (formerly the Multilateral Investment Fund) and IDB Invest - approved US$7.8 billion in climate finance as per the MDB climate finance tracking methodology. This resource is aimed at development activities carried out by the public and private sectors that reduce greenhouse gas (GHG) emissions and thus mitigate climate change, and/or that reduce vulnerability to climate change and contribute to an adaptation process. The IDB approved US$6.1 billion in climate finance (45.3% of total approvals). The IDB Group is composed of two separate legal entities: the IDB and the Inter-American Investment Corporation (IIC), which was rebranded as IDB Invest in 2017. The IDB Lab is a trust fund administered by the IDB and serves a unique function as the IDB Group s innovation laboratory. This dataset pertains to the IDB. Climate finance for the entire IDB Group (IDB, IDB Lab, and IDB Invest) in 2023 was US$8.3 billion.",2,True
10.6084/m9.figshare.30015124,A Benchmark Dataset of Chinese Development Finance with Climate Relevance and SDG Annotations from 2000–2021,Ji Qi,2026.0,Figshare,1.0,"China has become a major provider of climate finance to the Global South, yet systematic and transparent data capturing the full scope of its efforts remains limited. This study presents a refined project-level dataset of Chinese development finance from 2000 to 2021, comprising 20,985 records from the AidData Global Chinese Development Finance Dataset. Using a multi-stage approach, we identify 1,383 climate-related projects, amounting to $421 billion, and assign SDG targets to all entries. Climate relevance and SDG alignment were determined through extensive manual annotation following the Rio Marker and SDG frameworks. To ensure consistency and scalability, we conducted technical validation using pretrained BERT models for climate and SDG classification. The resulting dataset not only enables systematic analysis of China’s evolving international climate finance portfolio and sustainable development commitments, but also serves as a benchmark resource for researchers in climate and sustainable development fields to train or refine advanced language models.",1,True
10.2118/1221-0008-jpt,Comments: COP26: Pledges and Missed Targets,Pam Boschee,2021.0,Journal of Petroleum Technology,1.0,"COP26 concluded with mixed results. It was the first formal opportunity since the 2015 Paris Agreement for countries to revise their nationally determined contributions (NDCs) for the 2030 targets and to offer long-term greenhouse-gas reduction strategies to 2050. Pledges were made. Early indications suggest that if the pledges covering about 90% of global emissions are followed by action and completed in full and on time, a temperature increase of around 1.8°C to 2.1°C by 2100 could be seen. But without stronger actions taken to 2030, the temperature will likely be higher, according to IPIECA. The Paris Agreement set a global framework “to avoid dangerous climate change by limiting global warming to well below 2°C and pursuing efforts to limit it to 1.5°C. It also aims to strengthen countries’ ability to deal with the impacts of climate change and support them in their efforts.” Even before COP26 began, a pledge made in 2009 and reaffirmed at the 2015 Paris meeting was stirring up frustration. A target was missed for rich countries to provide poor nations with $100 billion in aid each year to confront global warming. Current data show the goal, which was to have been met in 2020, won’t be reached until 2023—3 years later than agreed. The report was compiled by Canada’s Minister of Environment and Climate Change, Jonathan Wilkinson, and Germany’s Deputy Environment Minister, Jochen Flasbarth. They drew on international climate finance tracking data provided by the Organization for Economic Cooperation and Development. Flasbarth, quoted by the Associated Press, said, “Not all of our conversations were really (...) polite,” referring to talks that had taken place with rich and poor nations in recent weeks. A catch-up plan was drafted for COP26. Alok Sharma, the UK official who chaired the talks about this issue, said, “The plan provides confidence that the $100 billion will be met in 2023, and importantly, it projects that the $100 billion will be exceeded in subsequent years, with up to $117 billion being mobilized in 2025.” While it’s clear that much work needs to be done to move toward the temperature goal, it also can’t be denied that incremental progress has been made. Business models, practices, and operations have changed across the oil and gas industry and will continue to do so as energy transition, climate, and oil and gas prices drive decisions. A case in point was Shell’s announcement on 15 November that it intends to move its tax residence from the Netherlands to the UK, where it is incorporated. CEO Ben van Beurden and other top executives will move to a UK corporate headquarters. One of the reasons given was that “ … it’s even more important that we have an increased ability to accelerate the transition to a lower-carbon global energy system. A simpler structure will enable Shell to speed up the delivery of its Powering Progress strategy, while creating value for our shareholders, customers, and wider society.” COP27 is scheduled for December 2022 in Sharm El-Sheikh, Egypt. Another tallying of actions delivering on pledges will take place and the world will be watching—skeptics, supporters, and those who have acted to build the momentum toward the goal.",1,True
,Adaptation and the $100 billion Commitment: Why private investment cannot replace public finance in critical climate adaptation,Tracy Carty,2013.0,,1.0,"Private finance has a vital role to play in the global response to climate change, but it is not a substitute for public finance. Developed countries have committed to mobilizing $100 billion in climate finance per year by 2020 to support climate adaptation and mitigation in developing countries. Reliance on private finance over public to meet these financing goals presents a triple whammy for pro-poor adaptation. Private finance will struggle to meet the essential adaptation needs of poor and marginalized people; it overwhelmingly favours mitigation over adaptation; and it favours richer developing countries over less developed countries. COP19 in Warsaw in November 2013 must turn ambiguity into action by advancing strategies to scale-up public finance for adaptation, and by providing assurances that commitments to critical support for the world’s poorest countries and communities over the coming years will be met.",1,True
,Climate Finance Post-Copenhagen: The $100bn questions,Tim Gore,2010.0,Issue Lab (Candid),1.0,Climate change is the single greatest threat to development - making the battle to overcome poverty ever harder and more expensive. Finance is urgently needed to help vulnerable communities adapt to a changing climate. Last year the World Bank estimated the costs of adaptation in poor countries were $75-100bn per year if global warming was kept to 2Â°C. The non-binding pledges from rich countries to cut emissions offered since Copenhagen would steer a course towards a catastrophic 4Â°C.,1,True
,Climate finance across developing countries: What are the major determinants?,Aidy Halimanjaya,2013.0,,1.0,"This paper assesses the relationship between allocated amounts of public climate finance primarily aimed at mitigating climate change and the characteristics of developing countries. Two-part model and robustness checks were used to analyse 1998-2010 Rio Marker data from 180 developing countries. In both the selection and the allocation stages, the results show, developing countries tend to be selected as recipients and to receive more climate finance if they have higher CO2 intensity, larger carbon sinks, a higher deforestation rate, lower per capita income and good governance. CO2 emissions variable only become a significant determinant of climate finance disbursement. When climate finance is compared to overall official development assistance there are reciprocities of climate and development parameters between the two: infant mortality is still a major determinant of overall aid, and CO2 emissions are used as a negative parameter of overall aid, potentially to avoid diverting aid from poor developing countries to more industrial developing countries. Public climate finance may crowd out development aid if its share of overall aid continues to escalate, and if there is a consistent application of emission variables and CO2 intensity in distributing climate finance.",2,True
10.21201/2024.000041,Climate Finance Unchecked: How much does the World Bank know about the climate actions it claims?,Christian Donaldson,2024.0,,1.0,"<html> <head> <title></title> </head> <body> Oxfam finds that for World Bank projects, many things can change during implementation. On average, actual expenditures on the Bank&#8217;s projects differ from budgeted amounts by 26&#8211;43% above or below the claimed climate finance. Across the entire climate finance portfolio, between 2017 and 2023, this difference amounts to US$24.28&#8211;US$41.32 billion. No information is available about what new climate actions were supported and which planned actions were cut.&#160; Now that the Bank has touted its focus on understanding and reporting on the impacts of its climate finance, it is critical to stress that without a full understanding of how much of what the Bank claims as climate finance at the project approval stage becomes actual expenditure, it is impossible to track and measure the impacts of the Bank&#39;s climate co-benefits in practice.&#160; The Bank should improve its reporting practices, undertake a climate finance assessment on closed projects, standardize how it reports on climate finance in projects and create a public climate finance database. &#160; A webinar was hosted on October 17, 2024 to launch this report and <a href=”https://www.youtube.com/watch?v=oQKEzp33nVA”>you can access the recording here.</a> This page was updated on November 2, 2024 to address an error in the accompanying data. This change has no impact on the findings of the report. Oxfam's report sought to highlight the need for greater transparency around impacts, and to encourage post-project assessments. No claim was made of missing money, despite some misinterpretations of our findings. Read more here: <a href=""https://www.oxfam.org/en/blogs/8-questions-you-had-about-oxfams-world-bank-climate-finance-report-answered?__hstc=121853780.a5d6da1aa1e6d84f2fd965072d611b72.1713826588429.1740156097837.1741027166002.77&__hssc=121853780.2.1741027166002&__hsfp=3568896045&_gl=1*1pd8zjj*_gcl_au*MTgxODY0NDEzMC4xNzM2OTU4NTkx*_ga*MjA3ODM0Njk1OC4xNzI1OTkwMzIw*_ga_R58YETD6XK*MTc0MTAyNzE2NC4yMi4xLjE3NDEwMjc1NjIuMC4wLjE3MjQ2OTk4NzU.*_fplc*ZlN3RHR6T0dKaGlzQW9PaDVCTEg0ajIlMkIlMkIzSUJtYUxiblBhVXNBZmgwVG5odlI0enRJOUdlUW9aMSUyQmQlMkZxbFk0TzZnalIzaE1lSllTSWhqR1BDZUtsWVhwcHoxWWhqcU9mbGVjdmpiV1RsV1BtYiUyRlcxaU9GNTI1eWRuRWJIZyUzRCUzRA.."" target=""_blank"" rel=""noopener noreferrer""> 8 questions you had about Oxfam's World Bank climate finance report - answered </a> </body> </html>",1,True
10.4337/9781784715656.00012,Lessons from Fast-Start Finance,Smita Nakhooda,2022.0,Edward Elgar Publishing eBooks,1.0,"Developed countries committed to provide US$ 30 billion in new and additional climate finance between 2010 and 2012 under the United Nations Framework Convention on Climate Change (UNFCCC). This 'Fast-Start Finance' (FSF) was intended to be an initial step towards mobilising climate finance at a level that reflects the adaptation and mitigation challenges developing countries face. Delivering FSF during a global financial crisis that constrained budgets in many developed countries was especially challenging. Yet the terms of this commitment were vague, leaving the question of what counts as climate finance largely unspecified. Contributor countries reported the mobilisation of US$ 35 billion in the FSF period from a wide range of sources using diverse instruments, and exceeding the US$ 30 billion commitment. This paper reviews the FSF contributions that 37 contributing countries reported to the UNFCCC, and the different approaches that contributing countries took to defining what qualified as FSF. It reflects on this experience to draw lessons from for the future delivery of climate finance.",2,True
,Monitoring and Evaluating The 100 Billion Green Climate Fund: A Reflection on the Challenges Ahead,Liliana Benitez,2012.0,UVic’s Research and Learning Repository (University of Victoria),1.0,,1,True
10.2139/ssrn.4730179,"The Impact of the Industrialized Nation's CO2 Emissions on Climate Change in Sub-Saharan Africa: Case Studies from South Africa, Nigeria and the DR Congo",Dirk Kohnert,2024.0,SSRN Electronic Journal,1.0,": Human activity has transformed the planet at a pace and scale unprecedented in recorded history, causing irreversible damage to communities and ecosystems. Countries have focused their capacities on economic growth, with too little attention to externalities in terms of environmental quality. The world will not avoid catastrophic warming unless wealthy nations accelerate their reduction of own emissions and help poorer countries to do the same. North America and Europe have contributed 62 % of carbon dioxide emissions since the industrial revolution, while Africa has contributed only 3%. However, it is in sub-Saharan Africa (SSA) that the impacts are most severe and the people most vulnerable. Developed countries, in their own interests, should focus on ways to help developing countries phase out fossil fuels and transition to renewable energy. However, there are tensions between richer and poorer nations over who should pay the costs of global warming. Rich countries have a responsibility to act more quickly than their low-income counterparts. Yet governments continue to subsidise the use of fossil fuels, and banks and companies still invest more in polluting industries than in climate solutions. The consumption habits of the richest 10 % of people generate three times more pollution than those of the poorest 50 %. Emerging economies such as China and India, which plan to achieve net-zero emissions by 2060 and 2070 respectively, should join the developed world in accelerating emissions reductions. It is not just the way we produce and use energy that needs to change quickly. It's the way we consume food, the way we protect nature. It's everything, everywhere, all at once. The agricultural sector is particularly vulnerable, especially in SSA countries where agriculture is central to the economy. Among the top eight countries with the highest cumulative net emissions from agriculture, forestry and other land use are two SSA countries, Nigeria and DR Congo. Most of these emissions are embodied in trade and are caused by consumption in regions such as Europe, the United States and China. The establishment of the Loss and Damage Fund agreed at COP27 will not be enough to turn the tide, nor will it necessarily translate into climate finance commitments, given the lack of progress in delivering the promised US$100 billion in annual climate finance from rich countries. African countries themselves need to reflect on their own strengths and step up their efforts in a timely and substantial way.",1,True
,TWO DECADES AFTER THE RIO EARTH SUMMIT: SUSTAINABLE DEVELOPMENT QUO VADIS?,Korinna Horta,2011.0,,1.0,"The world�s most influential development agency, the World Bank Group (WBG), is the\nleading actor in development finance and plays a central role in global efforts to protect the\nenvironment. Following the Rio Earth Summit in 1992, the institution was responsible for all\ninvestment projects of the Global Environment Facility (GEF), which was then newly\nestablished to serve as the interim financial mechanism for the United Nations Conventions\non Climate Change and Biodiversity. The promise that the GEF would lead to the �greening�\nof development finance remains largely unfulfilled.\nMore recently the United Nations Framework Convention on Climate Change appointed the\nWBG as the interim trustee of the new Green Climate Fund which plans to mobilize an\nestimated US$ 100 billion per year by 2020.\nWhile the World Bank Group plays this critical role in global environmental efforts, its main\nbusiness continues to be lending for development. This includes the financing of large-scale\ninfrastructure projects, agribusiness, large dams as well as investments in gas, oil and\nmining. This regular lending portfolio for development is often at odds with environmental\nsustainability. For example, despite the growing area of climate finance, support for fossil\nfuel projects continues to be dominant in the institution�s lending for the energy sector.\nAnother climate-related area is the World Bank�s pioneering role in advancing REDD+, an\ninitiative designed to reduce the emission of global green house gases by integrating efforts\nto protect forest areas into global carbon markets. Ultimately, its success will depend on\naddressing sensitive questions such as land ownership, forest governance and the equitable\nsharing of benefits. In conclusion the paper considers the underlying corporate culture and\nthe difficulties in reconciling environmental and social sustainability with the institution�s\nsupply-side driven focus on meeting lending targets.",1,True
,The UNFCCC work programme on long-term finance,Tim Gore,2012.0,Issue Lab (Candid),1.0,"New sources of climate finance must be found to curb the alarming shift in Official Development Assistance (ODA) to climate finance and to protect the development gains of recent decades. Climate change is an additional burden for poor countries, and requires additional resources to tackle it. The outcomes of the UNFCCC Work Programme on Long-term Finance will determine whether the goals of reaching the target of $100bn per year by 2020 committed to at Copenhagen, and keeping global warming below 2ÂºC, let alone the 1.5Â°C needed, will stay within reach. Oxfam believes that the UNFCCC Work Programme must lead to a breakthrough in delivery of scaled-up, new and additional, predictable finance for adaptation and mitigation in developing countries. This briefing examines financing needs, possible sources of finance and delivery mechanisms, and action needed at COP 18.",2,True
